,Spec_int,Indv,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
168,9,181,0.020850296,16.11659215,6.116051073,2278.782038,7.900787031,1807.972133,1198.501493,4972.591829,24159.79617,40.26253963,49.8458906,0.119821466,0.558404708,9.146463413,22.21907861,0.00751253,,3.971142022,14.6168029,0.126424037,0.002221796
169,9,182,0.007382819,16.75035392,13.24557754,2007.677222,2.137414631,2263.107342,1222.364286,7929.543507,12665.50932,25.6464654,21.358874,0.10427707,0.397713577,10.15964674,18.10938562,0.002691342,0.12802385,10.55326869,8.717794227,0.121616386,0.006552895
170,9,183,0.018531095,26.92639228,11.09799576,3015.150614,3.127927049,2316.832174,1522.658178,7094.103019,18792.77796,31.38520553,33.1097037,0.067183861,0.335748513,9.066682739,10.16648192,0.005757136,0.174723082,5.969906371,14.30683192,0.145370332,0.009231354
171,9,184,0.012265047,17.1645012,11.2719674,2011.906174,3.308984981,2559.423458,1477.551595,8835.444117,16376.52059,29.85374971,24.94766335,0.072576553,0.501215688,10.11572616,16.46818649,0.00304436,,6.678904962,9.754131827,0.155489871,0.00574808
172,9,185,0.025048049,15.8410527,11.52921928,3061.698552,9.154848359,1994.080576,1120.316479,5922.867914,22875.872,40.23143534,63.42059415,0.147126444,0.711883295,7.817624071,23.75834423,0.008399132,0.239903804,6.271188284,14.89417824,0.110131697,0.006075683
173,9,186,0.035367652,16.01805468,16.97630764,2100.521801,13.62324947,1506.268844,740.8799663,6059.736252,16240.59734,40.7630127,59.60091811,0.168760735,0.735939422,6.519631587,12.54172452,0.008925144,0.06225701,5.03472159,8.789530982,0.102301609,0.008040519
174,9,187,0.016759028,13.083222,8.512956431,2462.356485,5.74405414,1932.963021,935.042819,8750.536943,14223.54358,25.70669401,86.93898997,0.187246285,0.597033238,7.619265011,21.29832077,0.00449809,,6.820832441,9.720086933,0.120657891,0.003406071
175,9,188,0.005416895,16.84657947,9.517975822,2262.739782,4.929252386,2067.609323,1423.573177,9913.700737,12968.67077,23.04599844,32.15670791,0.054837865,0.941947892,8.33870803,12.7317425,0.005828005,0.094199661,5.386308896,10.48488228,0.164443042,0.002098946
176,9,189,0.006831447,16.59411689,13.37344778,1654.202668,3.058774733,2808.934872,1454.821458,9930.181324,7524.239956,19.81976343,19.59494459,0.088022999,0.237354812,10.97566465,13.22010061,0.017162996,0.068471868,19.89758709,3.271488066,0.134511952,0.005023842
177,9,190,0.007168604,16.47895702,10.25402041,1703.728305,2.573484263,2059.59216,1474.025671,7594.745916,11010.29835,19.05227202,24.30612158,0.07693907,0.248177791,7.35618905,9.564173179,0.003378064,0.060695762,12.20903958,5.613201712,0.135801972,0.005971116
178,9,191,0.029820856,20.64765145,8.580158923,4083.574211,11.94113457,2267.425509,1116.745834,6192.160667,21601.88318,48.0791299,53.85712822,0.146031859,0.564223817,7.459671477,20.0096472,0.012011516,0.109815141,6.079156393,16.53063413,0.10475511,0.007325737
179,9,192,0.015445336,27.95869686,15.09249436,3103.740503,4.940130371,2503.495141,1455.287701,9002.937684,19543.70354,29.79969353,32.74822906,0.09642888,0.457328676,10.0721739,22.94883127,0.005205291,0.187824912,10.98082176,13.48784023,0.161462629,0.007586945
180,9,193,0.011692065,14.4714762,12.35602128,2567.427793,4.779900258,2144.139531,968.8106914,8191.414253,15188.89648,28.06357368,29.373096,0.115011958,0.454103353,8.382351899,13.96422228,0.004813915,0.730192869,6.161520717,9.455462366,0.14955844,0.008365127
181,9,194,0.012698425,19.90290104,11.35589833,2420.575567,4.860798638,2310.724724,1181.341091,7485.377579,15040.75897,27.88668939,35.49451167,0.165624578,0.61657699,9.014363983,25.23684673,0.00464432,0.13440513,10.96017912,9.113127726,0.121080895,0.00777578
182,9,195,0.013236859,18.81348482,20.18039988,1960.298825,4.842761151,2670.844488,1738.839771,8780.412732,9514.439677,24.10828879,20.4113752,0.114667396,0.513552348,10.07354796,21.8082587,0.006371702,0.058374638,15.30061643,3.903578876,0.147538477,0.005277825
183,9,196,0.009621218,9.859238192,19.22101692,1386.154192,2.706384492,2350.191134,1963.233121,11677.83971,8550.786563,23.19394155,24.24758847,0.088004151,0.263770953,12.12583235,11.79577158,0.002892051,0.051909894,10.14115498,5.098450665,0.163523556,0.005821333
184,9,197,0.010445263,25.34740161,11.00959687,3939.654103,4.440987377,1761.724622,1502.554211,5225.274856,27855.35582,32.27327506,49.99569638,0.088306133,0.657254505,7.675290783,9.407053007,0.004597516,0.080944173,5.065217262,18.12301887,0.1426273,0.008706387
185,9,198,0.008170082,27.49944648,11.29570406,3489.520416,3.477370294,2142.019916,1450.837176,7813.744036,23028.23192,23.74003433,30.7043908,0.093977353,0.523998901,9.226383355,15.61621966,0.001961555,,8.620082709,16.16446875,0.143330842,0.006019205
186,9,199,0.115906829,23.3297485,9.372606217,3762.315202,51.07099451,2679.338391,1296.139519,6051.022899,32675.78849,119.5669404,51.6553094,0.271042606,0.961155004,8.859715282,17.82650007,0.023548704,0.045067015,5.93576184,22.84632369,0.1257741,0.007683592
187,9,200,0.013403689,18.93936384,13.59094821,3570.22292,5.689152937,2074.625291,1029.395449,5724.782429,20526.02027,23.86786254,44.98165034,0.11574265,0.413839715,7.64530598,21.70112353,0.004965788,0.056994299,4.642394966,14.45657899,0.116375734,0.009457692
188,9,201,0.010345432,21.26393676,8.638228017,3047.566296,4.588473878,2259.752563,1256.896014,6945.132745,18828.74099,29.00005145,39.25208171,0.114926321,0.517537361,8.069380166,12.71414904,0.004326631,0.045937459,6.238490016,12.3761953,0.127984085,0.003756823
189,9,202,0.016805955,28.45938253,8.997573615,4315.078651,6.004444828,2499.323434,1220.012669,6563.256322,26573.44679,34.25731193,40.50911965,0.141538254,0.467388371,8.937187201,22.57758903,0.006392723,0.041918229,4.871486895,20.1365158,0.164233644,0.006066917
190,9,203,0.037525239,17.36617174,6.430304468,2313.924818,20.84646316,2337.776873,1916.76021,9491.730393,14714.70814,59.96382001,40.88983679,0.170414343,0.671391447,9.646469499,11.87576401,0.009882491,0.816305864,5.969126772,11.6019482,0.153764979,0.006948676
191,9,204,0.011676364,23.87414154,11.40498917,3380.622131,4.008174536,2434.905039,1654.132763,6908.704259,22341.92393,31.83580589,31.83374206,0.074714594,0.460287127,9.466876888,15.29146159,0.005282065,0.651274031,4.644592171,14.75053397,0.170588145,0.004871412
192,9,205,0.010193706,16.74391718,12.27376779,2380.375591,3.621363248,2678.211206,1248.904469,9601.55644,16032.84748,23.94989587,36.26758026,0.06373613,0.532999565,11.67068814,12.83958709,0.00367061,,8.905819912,10.47547874,0.177665395,0.011145802
193,9,206,0.006867185,18.01797004,7.915916011,2214.786381,2.63986725,2011.545178,1540.109747,6548.8805,22854.23899,26.90007985,37.23072932,0.069392498,0.348495516,8.190884533,10.97259953,0.005025468,0.128440992,2.733252083,14.59243831,0.291392622,0.006762048
194,9,207,0.004975273,16.04153614,13.65297765,2044.649906,3.477083112,2259.464106,2174.967911,10415.70321,8613.494089,31.34579588,25.83685318,0.073101473,0.435976337,8.486343565,11.49167943,0.004730008,5.0997177,9.3838804,6.132379791,0.195313364,0.022947273
195,9,208,0.007587523,13.62873641,21.90161687,1762.030361,1.497846126,3187.108293,2008.103594,13107.19204,10253.43998,18.24123688,20.10457751,0.07328695,0.217425373,10.1821249,29.37169866,0.002256751,0.117104545,10.49550971,5.910303231,0.263772886,0.004826166
