Taxa,PC1,PC2,PC3,PC4,PC5
160_271_106__vDNAlon500A04_E02,-0.005514164,0.015021556,-0.033828247,0.014690119,0.05831105
160_271_107__vDNAlon500A04_F02,-9.966241E-4,0.040233295,0.005953654,0.020760013,0.004647056
160_271_108__vDNAlon500A04_G02,6.003548E-4,-0.017209774,-0.0027524377,-0.0048290994,0.034760885
160_271_109__vDNAlon500A04_H02,-0.016019667,-0.009877241,0.09484309,-0.04615017,-0.028047593
160_271_110__vDNAlon500A04_A03,0.0025230725,-0.042922545,0.015333845,-0.03046053,0.02403639
160_271_111__vDNAlon500A04_B03,-0.006543812,0.058064368,0.012168877,-0.037370395,0.039455026
160_271_112__vDNAlon500A04_C03,-0.005416539,0.05736679,0.011857025,-0.039286744,0.035934474
160_271_113__vDNAlon500A04_D03,-0.008584553,0.03201151,0.026452184,0.01795348,0.022907507
160_271_114__vDNAlon500A04_E03,-0.00541758,0.032807603,0.024510715,0.015587778,0.020682648
160_271_115__vDNAlon500A04_F03,-1.9910991E-4,0.04955655,-0.023514457,0.024501896,8.0583524E-4
160_271_116__vDNAlon500A04_G03,1.2393201E-4,0.0046568117,-0.010677691,-0.032678567,-0.011217344
160_271_117__vDNAlon500A04_H03,-0.0061720763,0.0028314875,-0.0069562565,0.0076212063,-0.025179466
160_271_118__vDNAlon500A04_B04,-0.005714123,-9.1651996E-4,-0.026667446,-0.049846236,-0.009092718
160_271_118__vDNAlon500A04_C04,0.0019128899,-0.013384602,-0.0073277177,-0.020733185,-0.026531788
160_271_119__vDNAlon500A04_D04,-0.0075475117,0.012349737,0.010882271,0.0154359555,0.046111874
160_271_119__vDNAlon500A04_E04,-0.0059548826,-0.024519322,0.01833277,-0.038431983,0.026669847
160_271_120__vDNAlon500A04_F04,0.0013143424,-0.022799125,0.034526058,-0.04168057,0.01754215
160_271_121__vDNAlon500A04_G04,-0.0029192,0.010003459,0.06903081,0.02834799,0.023370927
