leaf_stage,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
1,0.11050872,0.81327873,-0.5160607,-0.011001791,0.1456591,0.070681885,0.94352055,-1.2494056,-0.2556131,-0.87492913,-0.06542966,1.8391775,0.29631954,0.14833581,0.10655801,-0.38387224,-0.94817334,-0.69109094,0.07464618
1,0.35700414,0.20545015,0.3032515,-0.08308082,-0.88410413,0.06883094,-0.39286298,0.5251877,-0.28552574,-0.520683,-0.3897351,-0.08137736,-0.15523875,-0.27660894,0.07691019,-1.013421,0.59927285,-0.8429988,0.076423004
1,-0.07350793,0.086246595,-0.42102322,-0.07546897,-0.63785326,0.06944474,-0.35913065,0.041587215,-0.17147323,-0.20174898,-0.35050422,-0.03557897,-0.19041587,-0.34762213,0.07155719,-0.84331435,-0.07729235,-0.8989144,0.059907824
1,-0.14556874,-0.5872779,0.3761003,-0.019003637,-1.2020099,0.06953063,-0.011900648,-0.69112116,-0.040177874,-0.76323146,-0.6743224,-0.1085178,-0.064507894,0.044071607,0.06771133,-0.9644582,-0.8188477,-0.86778814,0.062532485
1,-0.41727915,-1.2257086,-0.21120882,0.12061435,0.2542811,0.06901913,0.9424994,-0.301834,-0.38187546,-0.888738,-0.59640616,-0.22244623,-0.13884231,-0.4790216,0.04954869,-0.67660576,0.79121864,-0.57262623,0.070683025
1,0.040848035,-0.5153273,0.15680596,-0.07196155,-0.023551976,0.06954571,-0.73683554,-0.18751591,-0.19643876,-0.49465594,-0.509716,0.06552053,0.58257353,-0.15500139,0.06747426,-0.777641,-0.5623665,-0.88886386,0.078537576
1,-0.48916015,-0.86540776,-0.55392694,-0.049921706,-1.103485,0.06983044,0.090626724,-1.2220669,-0.21128102,-0.60547113,-0.4244655,-0.09121171,0.08002664,-0.50906616,0.057967752,-0.79257125,-0.9788771,-0.7999148,0.037445728
1,-0.5008577,-0.55349714,-0.4215431,-0.07063659,-0.99182326,0.07037407,-1.1769608,0.15880704,-0.23234637,0.6338942,0.09525974,0.2352717,-0.079579294,0.007396455,0.06817959,-0.7919692,0.2170298,-0.7911218,0.0857466
1,0.6100836,0.565753,-0.16071738,-0.06886713,-0.8432102,0.071739554,0.22401379,-0.20838292,-0.13773885,0.174616,-0.008626813,-0.17293769,-0.48290133,-0.35935932,0.06284418,-0.824347,0.28300247,-0.8059898,0.05783185
1,-0.005801549,-0.36493713,-0.2527979,-0.07761868,-0.41862768,0.06984026,0.09985776,-0.6802764,-0.25572482,-0.5624912,-0.4304886,-0.017879998,0.1458938,-0.46415186,0.057633907,-0.5687664,-0.7787096,-0.0090335,0.036313243
1,0.35165426,0.56149423,-0.021903686,-0.059026707,0.36471316,0.07117587,0.167086,0.48285535,-0.09385378,-0.11537045,-0.33064246,-0.008815385,0.5104766,-0.20872562,0.069541536,-0.9990334,1.3081142,-0.86249256,0.056708094
1,-0.29757512,-0.9002254,0.1645992,-0.05485578,0.17523344,0.07069955,1.0073088,-0.81290513,-0.15164533,-0.47448713,-0.3711685,0.3252219,0.6908878,-0.3092933,0.06676556,-0.5510632,-0.4350273,-0.72319114,0.08426552
1,1.2001371,1.682029,0.10776508,-0.015933162,1.0785345,0.06741015,-1.9014789,-1.006853,-0.14709008,0.6921689,0.8476618,2.5731912,-0.12780587,-0.14665456,0.09895406,-0.20343399,-1.0941399,-0.24339767,0.11781374
1,0.33229968,0.7476535,-0.69157803,-0.015789697,1.5915103,0.07177996,-0.95964515,-0.8321671,-0.04803976,2.8002574,1.6665468,0.73605925,-0.2943455,0.60851467,,0.5137673,-0.979448,0.01840613,0.054432962
1,0.038834713,1.0515532,-0.5556048,-0.091130905,1.2790265,0.072484486,-1.0401118,-0.94043094,-0.25320503,1.2528247,2.071546,2.8758256,-0.2569104,-0.07553831,0.088183574,0.30088735,-0.9327246,-0.6132895,0.23148596
1,0.48352703,0.5082452,2.2965074,-0.061042413,0.62052435,0.06644538,-1.2431232,2.5043406,0.26259035,3.0044034,1.8047293,0.47767085,-0.055649426,-0.096281834,0.0645162,-1.000621,2.9318242,-0.5685546,0.110994704
